id,index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130,edad,antigüedad en la organización,educacion,hijos,estado civil,area,nivel del cargo,genero,antigüedad en el cargo,Conexion,Equilibrio,Proposito,Orgullo (eNps),Pedir ayuda,Contribucion,Retroalimentacion,Reconocimiento,Liderazgo y trabajo en equipo,Rituales,Comunicacion,Conversaciones,Entorno saludable,Innovacion,Adaptabilidad,Toma de decisiones,Empoderamiento,Relaciones,Superar metas,edad_bkt,antigüedad en el cargo bkt,antigüedad en la organización bkt
22,thg8syh26hx9mq6i5thg8syh21s5chex,4.0,2.0,5.0,4.0,5.0,4.0,1.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,"22,0","6,0",sicologo,3.0,casado,gh,analista III,femenino,"3,0","3,2","3,2","3,4","3,2","3,4","3,2","2,6","3,4","2,8","3,2","3,4","2,8","3,2","3,0","3,4","3,4","3,4","2,8","3,4",18-25,1-3,5-8
23,tl6bgwpd0bd5ffwxrtl6bgwrc5qkbeh3,2.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,1.0,5.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,"41,0","4,0",ingenieria sistemas,2.0,soltero,frontend,jefe II,otro,"4,0","3,2","2,6","2,8","4,0","4,2","3,8","3,2","3,8","3,8","2,4","3,2","4,0","3,4","4,0","3,8","3,0","3,8","3,2","3,6",35-45,3-5,3-5
24,y9b3w9wfwaiq9fry96nnsd235btt7tby,5.0,4.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,"21,0","1,0",ingenieria industrial,0.0,casado,analista,analista II,masculino,"1,0","4,2","3,8","3,2","3,4","3,4","3,2","3,4","3,4","3,8","4,0","3,8","3,6","4,2","3,8","3,6","4,4","3,4","3,6","3,8",18-25,0-1,0-1
25,ke73qs04g2ax83064ke73el6035cz5yf,2.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,"23,0","2,0",ingenieria sistemas,4.0,soltero,backend,analista I,femenino,"2,0","3,2","3,0","3,2","3,2","3,6","3,8","3,4","3,2","2,8","2,6","3,8","3,2","3,8","3,8","4,4","4,0","3,8","3,4","3,8",18-25,1-3,1-3
26,3vdbwseked0hvaeyqcf8nmkq3vdbw8p0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"30,0","5,0",ingenieria electrica,3.0,casado,soporte,jefe II,otro,"4,0","4,2","3,4","4,0","4,0","4,8","3,8","2,0","3,6","4,2","4,4","4,2","4,4","4,0","4,2","4,2","4,2","4,0","4,0","3,8",25-35,3-5,3-5
27,6hng12s3pvtj276hnhxjv92egiosos98,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,"44,0","3,0",sicologo,3.0,soltero,gh,jefe I,masculino,"2,0","3,4","3,8","3,4","4,2","3,2","3,0","3,2","4,2","4,6","3,8","4,8","3,2","3,6","4,0","4,8","4,2","4,2","4,2","3,6",35-45,1-3,1-3
28,6qoyvs8iumj86qhe6x6ecmgiqwor5yf5,4.0,4.0,5.0,2.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,"45,0","5,0",ingenieria sistemas,3.0,casado,frontend,analista II,femenino,"2,0","4,2","3,6","3,8","4,0","3,8","3,8","2,6","3,4","4,0","4,6","4,4","3,2","2,8","4,8","4,4","4,6","4,6","4,6","3,6",35-45,1-3,3-5
29,f33yfn2j1zf3327slmwektriopoj9yj2,2.0,4.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,"30,0","5,0",ingenieria industrial,0.0,soltero,analista,analista I,otro,"4,0","3,8","2,8","4,0","4,0","3,4","4,0","3,0","3,2","3,8","3,2","4,6","3,4","2,6","4,0","3,8","4,0","4,0","4,0","3,6",25-35,3-5,3-5
30,ob43j0ucqiut6eakv4pfzqwob43jekbk,4.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,"23,0","2,0",ingenieria sistemas,0.0,casado,backend,analista I,masculino,"2,0","3,6","3,0","2,2","3,0","3,0","2,8","3,6","3,4","3,0","2,6","3,4","4,0","3,0","3,2","3,8","4,0","3,0","3,4","2,6",18-25,1-3,1-3
31,fl9k5rad7gfo5utfl9k5vd102u24bzqk,2.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,"32,0","6,0",ingenieria electrica,2.0,soltero,soporte,jefe I,femenino,"4,0","3,4","3,8","3,6","4,6","4,0","4,0","3,2","4,0","3,4","3,0","4,2","3,4","3,6","4,0","3,4","2,6","4,2","4,0","3,8",25-35,3-5,5-8
32,nj9eib5qxl7lyvwenj959a6p6isbof7f,4.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,"44,0","6,0",sicologo,1.0,casado,gh,jefe I,otro,"1,0","4,0","3,6","3,8","4,0","3,2","3,8","3,8","3,4","4,0","4,0","3,8","3,2","4,0","4,0","4,4","4,2","4,0","3,8","4,0",35-45,0-1,5-8
33,q8jv14xd81vqrlqqwxq8jvzcz1n5bvo3,5.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,"24,0","3,0",ingenieria sistemas,1.0,soltero,frontend,analista I,masculino,"4,0","4,6","4,4","3,6","3,8","3,8","4,2","4,0","4,2","3,4","3,8","4,0","3,8","4,4","4,6","4,0","4,0","3,8","3,6","4,2",18-25,3-5,1-3
34,decspnb0qeyv5rtmeujdecspnbnp6sz5,4.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"25,0","1,0",ingenieria industrial,1.0,casado,analista,analista III,femenino,"3,0","4,0","4,2","3,4","4,0","4,0","4,6","3,2","4,2","4,4","4,2","4,4","2,8","4,6","4,0","4,4","3,8","3,2","3,6","4,2",18-25,1-3,0-1
35,swyqnzkhbqizyn42ltxswyqnzkhomax5,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"20,0","4,0",ingenieria sistemas,2.0,soltero,backend,jefe II,otro,"3,0","4,8","5,0","5,0","5,0","4,2","4,8","4,2","4,8","5,0","4,8","5,0","4,8","5,0","4,8","5,0","4,4","5,0","4,8","5,0",18-25,1-3,3-5
36,0aun3yamchny0a0m2kzgk4x0a1bt00m2,4.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0,"27,0","1,0",ingenieria electrica,0.0,casado,soporte,analista II,masculino,"1,0","2,6","1,8","2,2","2,4","3,0","2,6","2,8","1,4","1,2","1,6","3,2","3,8","2,6","3,6","2,8","2,8","2,2","2,6","3,2",25-35,0-1,0-1
37,nny028a5mzde88glxy5dnny028nah63j,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,"32,0","6,0",sicologo,3.0,soltero,gh,analista III,femenino,"2,0","3,2","3,4","2,6","3,8","3,8","3,8","3,4","3,4","4,6","3,2","4,4","3,8","4,0","4,6","4,2","4,8","4,0","4,2","4,0",25-35,1-3,5-8
38,3d8v4e8ftfqn239le23d8v4epwjz2278,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,"39,0","6,0",ingenieria sistemas,1.0,casado,frontend,analista III,otro,"4,0","4,0","3,4","3,2","3,4","2,8","3,6","3,2","3,8","2,8","2,6","3,0","2,2","4,0","3,6","3,8","3,4","3,8","3,0","4,0",35-45,3-5,5-8
39,ri1z4lwdbl8ts7085ori1z4qgn9kxj95,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,"26,0","6,0",ingenieria industrial,3.0,soltero,analista,analista II,masculino,"3,0","4,4","4,2","4,4","4,8","4,6","4,2","4,2","4,6","4,8","3,2","4,6","3,6","3,8","4,4","4,4","4,6","4,2","3,8","4,2",25-35,1-3,5-8
40,2u1d4lb5e584xftr2u05m4ei9t9xq1or,4.0,2.0,5.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"45,0","4,0",ingenieria sistemas,3.0,casado,backend,analista II,femenino,"3,0","4,4","3,2","4,4","4,4","3,8","4,2","2,8","4,0","4,2","4,2","4,4","3,8","3,6","4,8","3,8","4,0","4,0","4,8","4,8",35-45,1-3,3-5
41,chytwzd5mc09lvbgn1chytwglegywk9b,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"44,0","4,0",ingenieria electrica,0.0,soltero,soporte,analista I,otro,"1,0","4,0","2,8","3,2","4,4","4,4","3,6","3,6","4,0","4,6","4,4","4,8","4,4","4,8","3,6","4,6","4,2","3,4","3,6","4,8",35-45,0-1,3-5
42,b7in4jk7swzgxfpbybwb7in3giq4nl8b,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,"41,0","1,0",sicologo,4.0,casado,gh,jefe II,masculino,"2,0","3,8","3,8","3,2","4,4","3,8","3,8","3,0","2,6","3,4","2,6","4,0","4,0","4,2","4,0","2,8","4,0","2,8","4,2","3,8",35-45,1-3,0-1
43,tk24wigv3eg4stk2470w2hljssvi8ugp,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"32,0","2,0",ingenieria sistemas,3.0,soltero,frontend,analista III,femenino,"4,0","3,0","3,2","3,4","4,4","4,0","3,0","2,6","4,2","4,6","3,2","4,2","3,2","4,4","3,2","4,2","3,8","3,4","4,4","3,4",25-35,3-5,1-3
44,aijzrw93lclfh1bfthm7jaijzrdrcogu,4.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,"25,0","3,0",ingenieria industrial,0.0,casado,analista,analista III,otro,"3,0","3,6","3,2","3,2","4,2","4,2","4,2","2,8","4,0","4,4","3,4","4,0","3,4","4,4","3,2","4,2","3,8","3,2","4,2","4,4",18-25,1-3,1-3
